Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),activity,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.237258388,0.1713742912,0.006391582079,-0.1853558719,0.2525208887,rotation,,,,
0.239808388,0.1745700836,0.02450106293,-0.1874863952,0.2573444473,rotation,,,,
0.242358388,0.1767006069,0.0436758101,-0.186421141,0.2605446655,rotation,,,,
0.244856097,0.1820269227,0.05965476483,-0.1821600795,0.2643383932,rotation,,,,
0.247350367,0.1852227151,0.0745684579,-0.1800295562,0.2688467039,rotation,,,,
0.249844586,0.1862879843,0.08415582776,-0.1778990328,0.2709861294,rotation,,,,
0.252338857,0.1916143,0.09374319762,-0.1725727171,0.2743814311,rotation,,,,
0.254833128,0.1958753467,0.1054610983,-0.1672463864,0.278317352,rotation,,,,
0.257327399,0.2012016773,0.1150484756,-0.1608548164,0.2821214963,rotation,,,,
0.259835367,0.2012016773,0.1235705838,-0.1565937549,0.2833256222,rotation,,,,
0.262329951,0.2043974549,0.128896907,-0.15020217,0.2845231521,rotation,,,,
0.264824534,0.2065279931,0.1395495385,-0.1448758543,0.2883000152,rotation,,,,
0.267319169,0.2075932473,0.15020217,-0.1363537461,0.2902550469,rotation,,,,
0.269813805,0.2075932473,0.1587242782,-0.1320926845,0.2928085212,rotation,,,,
0.272308388,0.2086585164,0.1693769246,-0.128896907,0.2980626305,rotation,,,,
0.274803024,0.2118543088,0.1842906028,-0.1246358454,0.307212253,rotation,,,,
0.277297659,0.2118543088,0.1928127259,-0.1246358454,0.3123989267,rotation,,,,
0.279903024,0.2097237855,0.2034653574,-0.1225053221,0.31684345,rotation,,,,
0.282453024,0.2107890397,0.2162485123,-0.121440053,0.3254890548,rotation,,,,
0.285003024,0.2118543088,0.229031682,-0.1257011145,0.3363607137,rotation,,,,
0.287553024,0.2161153555,0.2407495826,-0.1310274303,0.3490478419,rotation,,,,
0.290103024,0.2182458937,0.2567285299,-0.1331579536,0.3623145716,rotation,,,,
0.292597659,0.2182458937,0.2705769539,-0.1374190152,0.3738009415,rotation,,,,
0.295148753,0.2214416862,0.2822948694,-0.1406148076,0.3853561181,rotation,,,,
0.297601253,0.2246374637,0.2972085476,-0.1448758543,0.3997298137,rotation,,,,
0.300053753,0.2299637944,0.314252764,-0.1533979625,0.4185320552,rotation,,,,
0.302545992,0.2352901101,0.3281011879,-0.1608548164,0.4346102822,rotation,,,,
0.304554169,0.2438122183,0.3462106884,-0.1629853398,0.4537295004,rotation,,,,
0.307046461,0.2459427416,0.364320159,-0.171507448,0.4718387596,rotation,,,,
0.309538701,0.2502037883,0.3781685829,-0.1768337637,0.4867068859,rotation,,,,
0.312030888,0.2597911656,0.3952127993,-0.1810948253,0.5064384881,rotation,,,,
0.314523128,0.2672480047,0.4111917615,-0.1832253486,0.5235185661,rotation,,,,
0.317130888,0.2736395895,0.4239749312,-0.1885516644,0.5386883119,rotation,,,,
0.319680888,0.2800311744,0.4346275628,-0.1906821877,0.5510701168,rotation,,,,
0.322230888,0.2906838059,0.4442149401,-0.1960085034,0.5659004519,rotation,,,,
0.324780888,0.3024017215,0.4484759867,-0.1960085034,0.5753232528,rotation,,,,
0.327273128,0.3098585606,0.4527370334,-0.1981390417,0.583302862,rotation,,,,
0.329880888,0.3173153996,0.4559328258,-0.1981390417,0.5897651095,rotation,,,,
0.332430888,0.3279680312,0.4516717792,-0.1938779801,0.5908968579,rotation,,,,
0.334883388,0.3386206925,0.4548675716,-0.1928127259,0.5989534442,rotation,,,,
0.337335888,0.3450122476,0.4559328258,-0.1917474568,0.6030549559,rotation,,,,
0.339827659,0.3503385782,0.4527370334,-0.186421141,0.6020471598,rotation,,,,
0.342240888,0.3609912097,0.4506065249,-0.1800295562,0.6047904885,rotation,,,,
0.344693388,0.3684480488,0.4506065249,-0.1768337637,0.6083341064,rotation,,,,
0.347145888,0.3716438413,0.4452801943,-0.1693769246,0.6042202734,rotation,,,,
0.349637659,0.3780354261,0.4420844018,-0.1597895473,0.6032264096,rotation,,,,
0.352050888,0.3791007102,0.4410191476,-0.1512674391,0.6009135338,rotation,,,,
0.354503388,0.3822965026,0.4335623085,-0.1406148076,0.5948944574,rotation,,,,
0.356955888,0.3812312186,0.4303665161,-0.1299621612,0.5894427398,rotation,,,,
0.359447451,0.3812312186,0.4271707237,-0.1171789989,0.5844167922,rotation,,,,
0.361860888,0.3822965026,0.4207791388,-0.1043958366,0.5780174653,rotation,,,,
0.364317138,0.3822965026,0.4111917615,-0.09054741263,0.5687074068,rotation,,,,
0.366808701,0.3759049177,0.4016043842,-0.07563371956,0.5552576412,rotation,,,,
0.369300263,0.3695133328,0.3909517527,-0.06498108059,0.5418541473,rotation,,,,
0.371791774,0.363121748,0.3802991211,-0.0521979183,0.5284027328,rotation,,,,
0.374341774,0.3556649089,0.3675159514,-0.03635212034,0.5127250517,rotation,,,,
0.376833336,0.3439469934,0.3526022732,-0.02783001214,0.4933582946,rotation,,,,
0.379441774,0.3290333152,0.336623311,-0.01824264042,0.4710742722,rotation,,,,
0.381991774,0.313054353,0.3227748871,-0.00332894898,0.4496640274,rotation,,,,
0.384541774,0.2970753908,0.3078611791,0.001997369342,0.4278273985,rotation,,,,
0.387091774,0.276835382,0.2908169627,0.008388951421,0.4016001855,rotation,,,,
