"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.734497970E-1,-1.368062496E0,-3.399365187E0,-5.884095192E0,6.931800264E0
3.785497970E-1,-1.636374354E0,-3.411026001E0,-5.808272362E0,6.931727579E0
3.835512560E-1,-1.822025895E0,-3.391904593E0,-5.641368866E0,6.830068653E0
3.885480260E-1,-1.943000913E0,-3.376720428E0,-5.447091579E0,6.696887342E0
3.934530260E-1,-2.033248425E0,-3.408362865E0,-5.183491707E0,6.528370612E0
3.983580260E-1,-2.029629707E0,-3.451923132E0,-4.892411232E0,6.322251001E0
4.032630260E-1,-1.965872049E0,-3.473915577E0,-4.540468693E0,6.045543673E0
4.082138080E-1,-1.838668108E0,-3.554045677E0,-4.134210587E0,5.753576128E0
4.132000580E-1,-1.687324166E0,-3.665475130E0,-3.654959917E0,5.444401048E0
4.181827140E-1,-1.372202158E0,-3.765959978E0,-2.948235989E0,4.975689778E0
4.231653180E-1,-9.199726582E-1,-3.872462273E0,-2.127774954E0,4.513284835E0
4.281479740E-1,-5.409886837E-1,-4.056344032E0,-1.284603596E0,4.289149340E0
4.331462560E-1,-2.518842220E-1,-4.260281563E0,-3.455524445E-1,4.281687885E0
4.381296930E-1,9.701466560E-2,-4.431056499E0,6.968851089E-1,4.486571341E0
4.431130780E-1,4.508562088E-1,-4.515478611E0,1.704660416E0,4.847544279E0
4.480965160E-1,7.034769058E-1,-4.468551636E0,2.671292782E0,5.253440644E0
4.530818280E-1,8.063282967E-1,-4.292847633E0,3.618876934E0,5.672299039E0
4.580653180E-1,8.320627213E-1,-4.070965290E0,4.448443890E0,6.087178312E0
4.630488080E-1,8.596959114E-1,-3.780144215E0,5.021801949E0,6.344057231E0
4.680323490E-1,1.033953667E0,-3.551331997E0,5.459621429E0,6.594579993E0
4.730403700E-1,1.329679489E0,-3.345410347E0,5.753824711E0,6.787217157E0
4.780251100E-1,1.738179207E0,-3.120443583E0,5.933889389E0,6.926000172E0
4.830098490E-1,2.173126698E0,-2.937403917E0,5.977155209E0,7.005512530E0
4.879945890E-1,2.580374241E0,-2.722169399E0,5.881868839E0,6.976024549E0
4.929576100E-1,3.027408123E0,-2.503247976E0,5.891756058E0,7.081259762E0
4.979412030E-1,3.435091496E0,-2.210585833E0,6.096470833E0,7.338494391E0
5.029249010E-1,3.820699692E0,-1.806840181E0,6.474115372E0,7.731532023E0
5.079085470E-1,4.231981277E0,-1.363589525E0,6.884940624E0,8.195819015E0
5.129026100E-1,4.721292973E0,-9.323153496E-1,7.240089417E0,8.693601900E0
5.178867760E-1,5.450060368E0,-6.755943298E-1,7.594632149E0,9.372194150E0
5.228709430E-1,6.397702694E0,-5.575058460E-1,7.956307411E0,1.022468778E1
5.278551100E-1,7.560457706E0,-5.597259998E-1,8.178396225E0,1.115168053E1
5.328615680E-1,8.894311905E0,-6.214418411E-1,8.345684052E0,1.221251066E1
5.378468810E-1,1.032721329E1,-7.131140232E-1,8.566178322E0,1.343649050E1
5.428321410E-1,1.179187584E1,-7.025046349E-1,8.686033249E0,1.466250395E1
