"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.299380760E-1,1.681784987E-1,-5.419528857E-2,-1.725727171E-1,2.469868001E-1
2.323533880E-1,1.681784987E-1,-3.195790946E-2,-1.810948253E-1,2.492000224E-1
2.348430760E-1,1.681784987E-1,-1.384842768E-2,-1.810948253E-1,2.475300429E-1
2.372583880E-1,1.713742912E-1,6.391582079E-3,-1.853558719E-1,2.525208887E-1
2.398083880E-1,1.745700836E-1,2.450106293E-2,-1.874863952E-1,2.573444473E-1
2.423583880E-1,1.767006069E-1,4.367581010E-2,-1.864211410E-1,2.605446655E-1
2.448560970E-1,1.820269227E-1,5.965476483E-2,-1.821600795E-1,2.643383932E-1
2.473503670E-1,1.852227151E-1,7.456845790E-2,-1.800295562E-1,2.688467039E-1
2.498445860E-1,1.862879843E-1,8.415582776E-2,-1.778990328E-1,2.709861294E-1
2.523388570E-1,1.916143000E-1,9.374319762E-2,-1.725727171E-1,2.743814311E-1
2.548331280E-1,1.958753467E-1,1.054610983E-1,-1.672463864E-1,2.783173520E-1
2.573273990E-1,2.012016773E-1,1.150484756E-1,-1.608548164E-1,2.821214963E-1
2.598353670E-1,2.012016773E-1,1.235705838E-1,-1.565937549E-1,2.833256222E-1
2.623299510E-1,2.043974549E-1,1.288969070E-1,-1.502021700E-1,2.845231521E-1
2.648245340E-1,2.065279931E-1,1.395495385E-1,-1.448758543E-1,2.883000152E-1
2.673191690E-1,2.075932473E-1,1.502021700E-1,-1.363537461E-1,2.902550469E-1
2.698138050E-1,2.075932473E-1,1.587242782E-1,-1.320926845E-1,2.928085212E-1
2.723083880E-1,2.086585164E-1,1.693769246E-1,-1.288969070E-1,2.980626305E-1
2.748030240E-1,2.118543088E-1,1.842906028E-1,-1.246358454E-1,3.072122530E-1
2.772976590E-1,2.118543088E-1,1.928127259E-1,-1.246358454E-1,3.123989267E-1
2.799030240E-1,2.097237855E-1,2.034653574E-1,-1.225053221E-1,3.168434500E-1
2.824530240E-1,2.107890397E-1,2.162485123E-1,-1.214400530E-1,3.254890548E-1
2.850030240E-1,2.118543088E-1,2.290316820E-1,-1.257011145E-1,3.363607137E-1
2.875530240E-1,2.161153555E-1,2.407495826E-1,-1.310274303E-1,3.490478419E-1
2.901030240E-1,2.182458937E-1,2.567285299E-1,-1.331579536E-1,3.623145716E-1
2.925976590E-1,2.182458937E-1,2.705769539E-1,-1.374190152E-1,3.738009415E-1
2.951487530E-1,2.214416862E-1,2.822948694E-1,-1.406148076E-1,3.853561181E-1
2.976012530E-1,2.246374637E-1,2.972085476E-1,-1.448758543E-1,3.997298137E-1
3.000537530E-1,2.299637944E-1,3.142527640E-1,-1.533979625E-1,4.185320552E-1
3.025459920E-1,2.352901101E-1,3.281011879E-1,-1.608548164E-1,4.346102822E-1
3.045541690E-1,2.438122183E-1,3.462106884E-1,-1.629853398E-1,4.537295004E-1
3.070464610E-1,2.459427416E-1,3.643201590E-1,-1.715074480E-1,4.718387596E-1
3.095387010E-1,2.502037883E-1,3.781685829E-1,-1.768337637E-1,4.867068859E-1
3.120308880E-1,2.597911656E-1,3.952127993E-1,-1.810948253E-1,5.064384881E-1
3.145231280E-1,2.672480047E-1,4.111917615E-1,-1.832253486E-1,5.235185661E-1
3.171308880E-1,2.736395895E-1,4.239749312E-1,-1.885516644E-1,5.386883119E-1
3.196808880E-1,2.800311744E-1,4.346275628E-1,-1.906821877E-1,5.510701168E-1
3.222308880E-1,2.906838059E-1,4.442149401E-1,-1.960085034E-1,5.659004519E-1
3.247808880E-1,3.024017215E-1,4.484759867E-1,-1.960085034E-1,5.753232528E-1
3.272731280E-1,3.098585606E-1,4.527370334E-1,-1.981390417E-1,5.833028620E-1
3.298808880E-1,3.173153996E-1,4.559328258E-1,-1.981390417E-1,5.897651095E-1
3.324308880E-1,3.279680312E-1,4.516717792E-1,-1.938779801E-1,5.908968579E-1
3.348833880E-1,3.386206925E-1,4.548675716E-1,-1.928127259E-1,5.989534442E-1
3.373358880E-1,3.450122476E-1,4.559328258E-1,-1.917474568E-1,6.030549559E-1
3.398276590E-1,3.503385782E-1,4.527370334E-1,-1.864211410E-1,6.020471598E-1
3.422408880E-1,3.609912097E-1,4.506065249E-1,-1.800295562E-1,6.047904885E-1
3.446933880E-1,3.684480488E-1,4.506065249E-1,-1.768337637E-1,6.083341064E-1
3.471458880E-1,3.716438413E-1,4.452801943E-1,-1.693769246E-1,6.042202734E-1
3.496376590E-1,3.780354261E-1,4.420844018E-1,-1.597895473E-1,6.032264096E-1
3.520508880E-1,3.791007102E-1,4.410191476E-1,-1.512674391E-1,6.009135338E-1
3.545033880E-1,3.822965026E-1,4.335623085E-1,-1.406148076E-1,5.948944574E-1
3.569558880E-1,3.812312186E-1,4.303665161E-1,-1.299621612E-1,5.894427398E-1
3.594474510E-1,3.812312186E-1,4.271707237E-1,-1.171789989E-1,5.844167922E-1
3.618608880E-1,3.822965026E-1,4.207791388E-1,-1.043958366E-1,5.780174653E-1
3.643171380E-1,3.822965026E-1,4.111917615E-1,-9.054741263E-2,5.687074068E-1
3.668087010E-1,3.759049177E-1,4.016043842E-1,-7.563371956E-2,5.552576412E-1
3.693002630E-1,3.695133328E-1,3.909517527E-1,-6.498108059E-2,5.418541473E-1
3.717917740E-1,3.631217480E-1,3.802991211E-1,-5.219791830E-2,5.284027328E-1
3.743417740E-1,3.556649089E-1,3.675159514E-1,-3.635212034E-2,5.127250517E-1
3.768333360E-1,3.439469934E-1,3.526022732E-1,-2.783001214E-2,4.933582946E-1
3.794417740E-1,3.290333152E-1,3.366233110E-1,-1.824264042E-2,4.710742722E-1
3.819917740E-1,3.130543530E-1,3.227748871E-1,-3.328948980E-3,4.496640274E-1
3.845417740E-1,2.970753908E-1,3.078611791E-1,1.997369342E-3,4.278273985E-1
3.870917740E-1,2.768353820E-1,2.908169627E-1,8.388951421E-3,4.016001855E-1
3.896417740E-1,2.565953732E-1,2.790990770E-1,1.478053257E-2,3.794152665E-1
3.921333360E-1,2.363553643E-1,2.673811615E-1,2.010685205E-2,3.574364688E-1
3.947417740E-1,2.107890397E-1,2.545980215E-1,2.543316968E-2,3.315102079E-1
3.971942740E-1,1.873532385E-1,2.428801060E-1,3.075948730E-2,3.082825456E-1
3.996467740E-1,1.628521830E-1,2.332927436E-1,3.608580679E-2,2.867900332E-1
4.020992740E-1,1.394163817E-1,2.258358896E-1,3.608580679E-2,2.678450335E-1
4.045948990E-1,1.129179448E-1,2.194443047E-1,3.928159550E-2,2.498985972E-1
4.070364610E-1,9.054741263E-2,2.119874656E-1,4.141212255E-2,2.342060704E-1
4.095321380E-1,7.137266546E-2,2.045306265E-1,4.141212255E-2,2.205488573E-1
4.120277110E-1,5.006739125E-2,2.002695650E-1,4.673844203E-2,2.116580362E-1
4.145233880E-1,2.769685537E-2,1.938779801E-1,4.673844203E-2,2.013461421E-1
4.169799510E-1,1.384842768E-2,1.885516644E-1,4.886896908E-2,1.952733602E-1
4.194746380E-1,-0.000000000E0,1.842906028E-1,5.099949613E-2,1.912170884E-1
4.219693260E-1,-1.171789970E-2,1.810948253E-1,5.313002318E-2,1.890911005E-1
4.244639610E-1,-2.237053588E-2,1.736379713E-1,5.739107728E-2,1.842398483E-1
4.269586490E-1,-2.769685537E-2,1.597895473E-1,6.484792382E-2,1.746570023E-1
4.294533360E-1,-2.130527236E-2,1.278316379E-1,8.082687855E-2,1.527344970E-1
4.319480240E-1,-0.000000000E0,8.522108942E-2,1.042626798E-1,1.346600924E-1
4.344426590E-1,3.302317113E-2,3.515370190E-2,1.351553202E-1,1.435035650E-1
4.369926590E-1,7.350318879E-2,-1.491369121E-2,1.745700836E-1,1.899996080E-1
4.394933880E-1,1.086568907E-1,-6.804371625E-2,2.161153555E-1,2.512809465E-1
4.420926590E-1,1.479384899E-1,-1.159805804E-1,2.651174963E-1,3.249993518E-1
4.446426590E-1,1.852227151E-1,-1.575258672E-1,3.077280223E-1,3.921968750E-1
4.471777110E-1,2.150501013E-1,-1.852227151E-1,3.535343707E-1,4.533658032E-1
4.496784400E-1,2.331595868E-1,-1.980058849E-1,3.854922652E-1,4.921117860E-1
4.521791690E-1,2.384859025E-1,-1.969406158E-1,4.078628123E-1,5.118722551E-1
4.546798990E-1,2.320943177E-1,-1.862879843E-1,4.238417745E-1,5.178926869E-1
4.571323990E-1,2.235722095E-1,-1.735048145E-1,4.323638678E-1,5.167465217E-1
4.596310440E-1,2.075932473E-1,-1.671132296E-1,4.291680753E-1,5.051801903E-1
4.620951070E-1,1.905490309E-1,-1.639174372E-1,4.291680753E-1,4.973561061E-1
4.645937010E-1,1.735048145E-1,-1.660479754E-1,4.291680753E-1,4.917937451E-1
4.670923990E-1,1.607216448E-1,-1.798963994E-1,4.259723127E-1,4.895371005E-1
4.695909920E-1,1.447426975E-1,-2.022669315E-1,4.270375669E-1,4.941896838E-1
4.720896380E-1,1.266332120E-1,-2.257027328E-1,4.259723127E-1,4.984276328E-1
4.745883360E-1,1.150484756E-1,-2.502037883E-1,4.281028211E-1,5.090285973E-1
4.770408360E-1,9.480846673E-2,-2.725743353E-1,4.259723127E-1,5.145267970E-1
