"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.524152917E-1,2.710890472E-1,-1.544353724E0,4.517629743E-2
7.624252917E-1,4.646055698E-1,-2.127140284E0,9.089867026E-2
7.724352917E-1,6.924818158E-1,-2.752002001E0,1.299760342E-1
7.824462917E-1,9.879840612E-1,-3.428512096E0,1.721029729E-1
7.924562917E-1,1.350589871E0,-4.124324799E0,1.869567633E-1
8.024662917E-1,1.762947202E0,-4.826190472E0,1.541141868E-1
8.124772917E-1,2.259734392E0,-5.468612194E0,9.564660490E-2
8.224872917E-1,2.886562347E0,-5.997731209E0,-3.739729896E-2
8.324972917E-1,3.526832104E0,-6.532152653E0,-2.080121785E-1
8.425082917E-1,4.102231026E0,-7.043941975E0,-3.277248144E-1
8.525182917E-1,4.586310387E0,-7.426939487E0,-3.662764430E-1
8.625282917E-1,4.977025032E0,-7.710745335E0,-3.672142625E-1
8.725392917E-1,5.268102169E0,-7.934239388E0,-3.133539557E-1
8.825492917E-1,5.461971283E0,-8.048083305E0,-1.440757662E-1
8.925592917E-1,5.571697712E0,-8.053362846E0,1.282170117E-1
9.025702917E-1,5.583104134E0,-7.938981533E0,4.767581522E-1
9.125802917E-1,5.463898182E0,-7.644439697E0,9.347859025E-1
9.225902917E-1,5.203313351E0,-7.079023361E0,1.469399929E0
9.326012917E-1,4.755559444E0,-6.331696510E0,2.104383230E0
9.426112917E-1,4.147405624E0,-5.417865753E0,2.785669804E0
9.526212917E-1,3.461774111E0,-4.321307659E0,3.398019552E0
9.626322917E-1,2.746450424E0,-3.167537212E0,3.858642578E0
9.726422917E-1,2.048560858E0,-1.989547253E0,4.086644173E0
9.826522917E-1,1.340111971E0,-7.551690936E-1,4.033967495E0
9.926632917E-1,5.848988891E-1,4.812438786E-1,3.724194765E0
1.002673292E0,-2.435135990E-1,1.564016104E0,3.230929136E0
1.012683292E0,-1.101644516E0,2.452658415E0,2.703831673E0
1.022694292E0,-1.947845459E0,3.003104925E0,2.208381653E0
1.032704292E0,-2.660119534E0,3.166839361E0,1.741249561E0
1.042714292E0,-3.175914288E0,3.005786419E0,1.343115568E0
1.052725292E0,-3.472554922E0,2.611470699E0,1.020636320E0
1.062735542E0,-3.546011925E0,2.154433012E0,7.446134686E-1
1.072745542E0,-3.417387009E0,1.738484025E0,5.009469986E-1
1.082756542E0,-3.132058382E0,1.361220717E0,2.854658365E-1
1.092766542E0,-2.752672911E0,1.065933466E0,1.099403799E-1
1.102776542E0,-2.306028366E0,9.144243598E-1,-1.178893074E-2
1.112787542E0,-1.855512619E0,7.738744020E-1,-8.386818320E-2
1.122797542E0,-1.494127989E0,6.482369900E-1,-1.590474695E-1
1.132807542E0,-1.204827547E0,5.111395717E-1,-2.659376860E-1
1.142818542E0,-9.635472894E-1,3.362766504E-1,-3.569261432E-1
1.152828542E0,-7.292886972E-1,1.381401271E-1,-4.135353565E-1
1.162838542E0,-5.222525001E-1,-7.096832246E-2,-4.105870724E-1
1.172849542E0,-3.462233841E-1,-2.591579258E-1,-3.438117802E-1
1.182859542E0,-1.913962364E-1,-4.016267955E-1,-2.217278332E-1
1.192869542E0,-6.061852351E-2,-4.913617373E-1,-5.930456519E-2
1.202880542E0,4.298257455E-2,-5.430479050E-1,1.235320866E-1
1.212890542E0,1.118260920E-1,-5.610420704E-1,3.264212906E-1
1.222900542E0,1.396424621E-1,-5.512191653E-1,5.422524214E-1
1.232911542E0,1.359278709E-1,-5.359666944E-1,7.848139405E-1
1.242921542E0,1.021777540E-1,-5.147037506E-1,1.034962773E0
1.252931542E0,5.215773731E-2,-4.780786335E-1,1.263552785E0
1.262942542E0,-2.107872441E-2,-4.505146742E-1,1.457767963E0
1.272952542E0,-1.199360639E-1,-4.704100788E-1,1.588026643E0
1.282963542E0,-2.268250883E-1,-5.200096965E-1,1.664123654E0
