"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.228830417E-1,4.803512692E-1,-9.931232929E-1,6.071357727E-1,1.259223993E0
6.328650417E-1,4.335060120E-1,-6.276792884E-1,8.785949945E-1,1.163545408E0
6.428470417E-1,3.220908642E-1,-2.727353871E-1,1.067982197E0,1.148352337E0
6.528300417E-1,2.042491734E-1,7.642454468E-3,1.147030115E0,1.165098372E0
6.628120417E-1,1.538142711E-1,1.492791772E-1,1.103646159E0,1.124267738E0
6.727940417E-1,2.097371817E-1,2.434472442E-1,1.105273128E0,1.151036460E0
6.827760417E-1,3.835932612E-1,1.852152497E-1,1.220393777E0,1.292597946E0
6.927580417E-1,6.572655439E-1,-1.391588300E-1,1.364008427E0,1.520487476E0
7.027400417E-1,9.778204560E-1,-4.289507568E-1,1.366056919E0,1.733852099E0
7.127220417E-1,1.328771830E0,-5.825312734E-1,1.182099104E0,1.871452792E0
7.227040417E-1,1.555722356E0,-7.284921408E-1,9.088185430E-1,1.943430985E0
7.326860417E-1,1.631929755E0,-1.028917789E0,7.541443110E-1,2.071376399E0
7.426680417E-1,1.694567800E0,-1.349586725E0,8.135100603E-1,2.314031757E0
7.526502917E-1,1.763399601E0,-1.502485394E0,8.946637511E-1,2.483437887E0
7.626322917E-1,1.841066837E0,-1.556149721E0,9.180714488E-1,2.579531787E0
7.726142917E-1,1.947475553E0,-1.498485088E0,8.966095448E-1,2.615726909E0
7.825962917E-1,2.066441774E0,-9.475209117E-1,8.569531441E-1,2.429474465E0
7.925782917E-1,2.083897352E0,-5.829181671E-1,8.355941176E-1,2.319620506E0
8.025602917E-1,2.053705931E0,-3.837134242E-1,8.136590719E-1,2.242093916E0
8.125422917E-1,1.970830202E0,-3.979935646E-1,7.695589662E-1,2.152856606E0
8.225242917E-1,1.792380810E0,-5.403125286E-1,6.920350790E-1,1.995865513E0
8.325062917E-1,1.604369164E0,-9.112088680E-1,6.104805470E-1,1.943447584E0
8.424882917E-1,1.499200463E0,-1.325338006E0,5.781959295E-1,2.082890634E0
8.524702917E-1,1.501161575E0,-1.713844776E0,6.414608955E-1,2.366901365E0
