"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.239473090E-1,-1.154723883E0,1.942788363E0,-1.275515556E0,2.595140420E0
3.287187150E-1,-1.401764989E0,1.598546743E0,5.718650818E-1,2.201664472E0
3.334894440E-1,-1.254414558E0,1.391141415E0,1.575250626E0,2.447497672E0
3.382609030E-1,-7.348136902E-1,1.345097184E0,-3.116989136E-1,1.564095204E0
3.430332460E-1,-3.317134678E-1,1.261537552E0,-2.113341331E0,2.483489964E0
3.478046530E-1,-3.182986677E-1,1.025936604E0,-2.447776794E0,2.673101418E0
3.525753820E-1,-6.151538491E-1,7.858808041E-1,-1.961771011E0,2.201038027E0
3.573468400E-1,-7.275160551E-1,2.901303768E-1,-1.570322990E0,1.754813249E0
3.621191840E-1,-5.088018179E-1,-2.641283274E-1,-1.977260590E0,2.058689511E0
3.668905900E-1,-2.195337415E-1,-4.172849655E-2,-2.425674915E0,2.435946454E0
3.716613190E-1,-1.259117723E-1,2.252612114E-1,-2.358022690E0,2.372101894E0
3.764327780E-1,-1.993880868E-1,3.333435059E-1,-1.708091736E0,1.751699426E0
3.812051210E-1,-1.774236262E-1,2.255003452E-1,-9.653205872E-1,1.007061758E0
3.859765280E-1,3.374570608E-1,-1.410784721E-1,-9.097757339E-1,9.805469337E-1
3.907472570E-1,1.019296169E0,-9.017447233E-1,-1.677946091E0,2.160465531E0
3.955187150E-1,1.174744248E0,-6.607309580E-1,-1.227424622E0,1.822953825E0
4.002910590E-1,8.291274309E-1,-2.091095448E-1,-1.674699783E-1,8.713353499E-1
4.050624650E-1,2.290837765E-1,1.847586632E-1,5.559797287E-1,6.290696297E-1
4.098331940E-1,-1.446940899E-1,4.979569912E-1,3.517065048E-1,6.265740262E-1
4.146046530E-1,-2.266092300E-1,7.184503078E-1,-2.936830521E-1,8.085618857E-1
4.193769960E-1,-1.721774340E-1,8.029808998E-1,-1.078815460E0,1.355826756E0
4.241484030E-1,5.143487453E-2,7.927837372E-1,-1.932524681E0,2.089450464E0
4.289191320E-1,-6.507933140E-2,7.858927250E-1,-1.926917076E0,2.082035570E0
4.336905900E-1,-2.265870571E-2,8.057041168E-1,-1.680417538E0,1.863726279E0
4.384629340E-1,2.702116966E-3,8.136980534E-1,-1.314461231E0,1.545936658E0
4.432343400E-1,7.551586628E-2,7.171888351E-1,-9.868907928E-1,1.222299435E0
4.480050690E-1,2.336537838E-1,5.809998512E-1,-7.403783798E-1,9.696984393E-1
4.527765280E-1,3.121612072E-1,3.983335495E-1,-6.525230408E-1,8.257727016E-1
4.575488710E-1,3.816463947E-1,1.651799679E-1,-7.172813416E-1,8.291145369E-1
4.623202780E-1,2.443988323E-1,1.484107971E-2,-7.938108444E-1,8.307145741E-1
4.670910070E-1,-7.395267487E-3,-3.631734848E-2,-9.345169067E-1,9.352515644E-1
4.718624650E-1,-3.057394028E-1,5.880022049E-2,-5.776195526E-1,6.561847270E-1
4.766347570E-1,-8.612903357E-1,3.303551674E-1,3.135652542E-1,9.743093695E-1
4.814062150E-1,-1.112462521E0,3.233332634E-1,-1.204853058E-1,1.164746311E0
4.861769440E-1,-1.278784394E0,2.349195480E-1,-2.732820511E-1,1.328593166E0
4.909484030E-1,-2.506892443E0,1.056885719E-1,-6.537218094E-1,2.592881023E0
4.957206940E-1,-7.820285797E0,-2.153787613E-1,-1.136107445E0,7.905314547E0
5.004921530E-1,-1.399065781E1,1.680598259E-1,-6.750125885E-1,1.400794032E1
5.052628300E-1,-1.251551914E1,1.075263500E0,3.710145950E-1,1.256710240E1
5.100343920E-1,-5.027301788E0,9.273955822E-1,-5.515861511E-1,5.141796682E0
5.148066320E-1,-2.157732248E-1,2.319099903E-1,-2.189677715E0,2.212471203E0
5.195780900E-1,1.146173239E0,-4.976789951E-1,-2.925701618E0,3.181371942E0
5.243487670E-1,6.855820417E-1,-8.275097609E-1,-2.728364468E0,2.932365565E0
5.291203300E-1,-3.542321920E-1,-7.558028698E-1,-2.548847675E0,2.682040808E0
5.338925690E-1,-1.265163660E0,-2.244222164E-1,-2.023680210E0,2.397141216E0
5.386640280E-1,-1.637196779E0,1.631860733E-1,-1.694149017E0,2.361606208E0
5.434347050E-1,-1.636660695E0,1.869015694E-1,-1.859334946E0,2.484092766E0
5.482062670E-1,-8.130017519E-1,4.422531128E-1,-2.494707108E0,2.660850093E0
5.529785070E-1,-7.498219013E-1,4.531078339E-1,-3.154167652E0,3.273578038E0
5.577499650E-1,-1.348001480E0,2.247326374E-1,-3.647786140E0,3.895376294E0
5.625206420E-1,-1.941720843E0,8.687329292E-2,-3.917780876E0,4.373423578E0
5.672922050E-1,-2.490087509E0,4.768109322E-2,-3.897168159E0,4.625011238E0
5.720644440E-1,-2.736679792E0,-8.197069168E-3,-3.787580967E0,4.672820675E0
5.768359030E-1,-2.870074987E0,1.088690758E-2,-3.454317093E0,4.491075098E0
5.816065800E-1,-2.967944860E0,1.611614227E-2,-3.051181793E0,4.256602725E0
5.863781420E-1,-3.473495960E0,-1.239423752E0,-3.260259628E0,4.922462622E0
5.911503820E-1,-3.305927753E0,-1.121178269E0,-2.703342915E0,4.415230678E0
5.959218400E-1,-3.137063980E0,-7.798070908E-1,-2.080937862E0,3.844420880E0
6.006925170E-1,-2.740840435E0,-1.228122711E-1,-1.364258766E0,3.064064478E0
6.054640800E-1,-2.775346756E0,4.080910683E-1,-5.907955170E-1,2.866727626E0
6.102363190E-1,-2.883949757E0,5.828170776E-1,-2.848134041E-1,2.956004164E0
