"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.562722917E-1,2.368524628E0,4.932243347E-1,3.858077087E0
8.662822917E-1,1.986968079E0,-7.768844604E-2,2.876268768E0
8.762932917E-1,1.606010284E0,-4.769082642E-1,1.936972046E0
8.863032917E-1,7.310797119E-1,-5.688171387E-1,1.084195404E0
8.963132917E-1,5.792953491E-2,-6.839277649E-1,3.486250305E-1
9.063242917E-1,-2.200424194E-1,-9.614506531E-1,-2.748284912E-1
9.163342917E-1,-5.414241028E-1,-1.200802917E0,-8.849597168E-1
9.263442917E-1,-3.740721130E-1,-1.454076233E0,-1.577270050E0
9.363552917E-1,4.108955383E-1,-1.703757019E0,-2.450404358E0
9.463652917E-1,1.619033203E0,-1.621877289E0,-3.235072632E0
9.563752917E-1,3.512745209E0,-1.321002960E0,-3.700005798E0
9.663862917E-1,6.349346466E0,-6.821315002E-1,-3.857628021E0
9.763962917E-1,9.767638092E0,5.415737915E-1,-3.746558990E0
9.864062917E-1,1.309821213E1,2.116748199E0,-3.641926575E0
9.964172917E-1,1.617281845E1,3.796105957E0,-3.814517670E0
1.006427292E0,1.855990448E1,5.377567291E0,-4.355792084E0
1.016437292E0,1.979333954E1,6.589297485E0,-5.065915375E0
1.026448292E0,2.028386948E1,7.331603851E0,-5.525459747E0
1.036458292E0,2.030452652E1,7.723788300E0,-5.385500793E0
1.046468292E0,1.987686584E1,7.996521149E0,-4.534071350E0
1.056479292E0,1.928754135E1,8.159981232E0,-3.066074066E0
1.066489542E0,1.864298172E1,8.176896057E0,-1.296154633E0
1.076500542E0,1.799961960E1,8.050109711E0,4.876858521E-1
1.086510542E0,1.728560440E1,7.837701416E0,1.981130219E0
1.096520542E0,1.630963394E1,7.631879425E0,3.032244415E0
1.106531542E0,1.509850250E1,7.384443970E0,3.819158020E0
1.116541542E0,1.364158218E1,7.106621704E0,4.376149750E0
1.126551542E0,1.280078064E1,6.712042236E0,3.430865479E0
1.136562542E0,1.201656143E1,6.018085327E0,2.672542419E0
1.146572542E0,1.103550156E1,5.369334412E0,2.260000305E0
1.156582542E0,9.974208527E0,4.892276459E0,1.806892548E0
1.166593542E0,8.832233276E0,4.360731812E0,1.408570862E0
1.176603542E0,7.652686157E0,3.737727356E0,1.084943848E0
1.186613542E0,6.484066315E0,3.181184692E0,8.726852417E-1
1.196624542E0,5.504353638E0,2.720143433E0,6.725514221E-1
1.206634542E0,4.731810150E0,2.272873535E0,4.252656555E-1
1.216644542E0,4.130360870E0,1.751507721E0,1.065783691E-1
1.226655542E0,3.537144470E0,1.212478638E0,-1.790277100E-1
1.236665542E0,2.912044373E0,7.607180786E-1,-3.918850708E-1
1.246675542E0,2.370320892E0,3.412902832E-1,-5.216651917E-1
1.256686542E0,2.097887421E0,-3.757186890E-2,-6.393205261E-1
1.266696542E0,2.068548431E0,-4.037104797E-1,-7.987390137E-1
1.276706542E0,2.299218750E0,-7.128176880E-1,-9.927355957E-1
1.286717542E0,2.717449036E0,-9.541159058E-1,-1.206940155E0
1.296727542E0,3.007695465E0,-1.296304321E0,-1.274300079E0
1.306737542E0,3.139122162E0,-1.849703522E0,-1.140777740E0
1.316748542E0,3.194207611E0,-2.511177979E0,-8.773255920E-1
1.326758542E0,3.353326721E0,-3.268153839E0,-6.337820435E-1
1.336768542E0,3.682342529E0,-4.084256744E0,-4.402345276E-1
1.346779542E0,4.257596283E0,-4.862937469E0,-3.022215271E-1
1.356789542E0,5.153632965E0,-5.510790253E0,-3.228785706E-1
1.366799542E0,6.779701538E0,-6.108946381E0,-4.056564331E-1
1.376810542E0,9.111702118E0,-6.468498688E0,-4.543052673E-1
1.386820542E0,1.146645538E1,-6.493197327E0,-4.043092346E-1
1.396830542E0,1.368244720E1,-6.438411255E0,-4.007167053E-1
1.406841542E0,1.564666260E1,-6.688990173E0,-7.418572998E-1
1.416851542E0,1.694940353E1,-6.955286407E0,-1.475781097E0
1.426862542E0,1.749756363E1,-7.096891937E0,-2.410587158E0
1.436872542E0,1.746852402E1,-7.238347778E0,-3.348237305E0
1.446882542E0,1.714804047E1,-7.273225250E0,-4.106560364E0
1.456893542E0,1.689356964E1,-7.210805054E0,-4.539011078E0
1.466903542E0,1.675720322E1,-7.128925323E0,-4.559069366E0
1.476913542E0,1.661844177E1,-7.065157928E0,-4.301904144E0
1.486924542E0,1.640812912E1,-7.092550964E0,-3.858675842E0
1.496934542E0,1.622550888E1,-7.256160736E0,-3.241359558E0
1.506944542E0,1.605561218E1,-7.713310089E0,-2.518363037E0
1.516955542E0,1.578677124E1,-8.135581970E0,-1.814526672E0
1.526965542E0,1.537153473E1,-8.268206177E0,-1.086440735E0
1.536975542E0,1.496423172E1,-8.162825317E0,-3.758683777E-1
1.546986542E0,1.472772354E1,-7.852370911E0,2.532733154E-1
1.556996542E0,1.447624649E1,-7.417525177E0,7.728428650E-1
1.567006542E0,1.409364212E1,-6.947352905E0,1.216969299E0
1.577017542E0,1.357167755E1,-6.541097717E0,1.494791565E0
1.587027542E0,1.288595352E1,-6.177354126E0,1.805545349E0
1.597037542E0,1.201012482E1,-5.617218933E0,2.154469757E0
1.607048542E0,1.135314102E1,-4.852608948E0,2.061962128E0
1.617058542E0,1.073193283E1,-4.186494141E0,2.046244812E0
1.627068542E0,1.026415558E1,-3.660487976E0,2.227667542E0
1.637079542E0,1.005848328E1,-3.288960571E0,2.371518402E0
1.647089542E0,9.981543274E0,-3.032094727E0,2.468367004E0
1.657100542E0,1.010997620E1,-2.771636353E0,2.501747589E0
1.667110542E0,1.038794815E1,-2.587968292E0,2.418071594E0
1.677120542E0,1.070977890E1,-2.538271637E0,2.220033417E0
1.687131542E0,1.085662354E1,-2.561174011E0,1.921105042E0
1.697141542E0,1.074435699E1,-2.615660706E0,1.604363708E0
1.707151542E0,1.049362839E1,-2.722239075E0,1.349743195E0
1.717162542E0,1.012090347E1,-2.755919037E0,1.116079102E0
1.727172542E0,9.693991241E0,-2.792892151E0,8.288264465E-1
1.737182542E0,9.398356018E0,-2.956950989E0,4.969665527E-1
1.747193542E0,9.173373871E0,-3.148702240E0,2.055226135E-1
1.757203542E0,9.003177795E0,-3.337160339E0,-2.454895020E-2
1.767213542E0,9.047186279E0,-3.615281982E0,-1.869612122E-1
1.777224542E0,9.723030853E0,-4.286635895E0,-3.315605164E-1
1.787234542E0,9.740993500E0,-4.277953949E0,-4.981640625E-1
1.797244542E0,8.898395691E0,-3.465892639E0,-5.777984619E-1
1.807255542E0,8.385113068E0,-3.220852203E0,-5.025050354E-1
1.817265542E0,8.149353333E0,-3.526965637E0,-4.108955383E-1
1.827275542E0,7.828570404E0,-3.866609344E0,-4.852908325E-1
1.837286542E0,7.339836731E0,-3.941753082E0,-7.382647705E-1
1.847296542E0,6.838379517E0,-3.819607086E0,-9.925859070E-1
1.857306542E0,6.262976074E0,-3.690425720E0,-1.143172760E0
1.867317542E0,5.728587341E0,-3.541635132E0,-1.274000702E0
1.877327542E0,5.410349121E0,-3.369343414E0,-1.411414948E0
1.887338542E0,5.328619080E0,-3.258424072E0,-1.553170166E0
1.897348542E0,5.412744141E0,-3.203937378E0,-1.693877563E0
1.907358542E0,5.575605469E0,-3.182232513E0,-1.808688812E0
1.917369542E0,5.783074036E0,-3.231330414E0,-1.871408386E0
1.927379542E0,6.085445251E0,-3.381917267E0,-1.838327179E0
1.937389542E0,6.419101410E0,-3.475173340E0,-1.682201843E0
1.947400542E0,6.764732666E0,-3.432811432E0,-1.434467010E0
1.957410542E0,7.263645172E0,-3.388054504E0,-1.169667664E0
1.967420542E0,7.900271301E0,-3.463796997E0,-9.590556335E-1
1.977431542E0,8.579109650E0,-3.511547699E0,-7.614665222E-1
1.987441542E0,9.291328583E0,-3.509751434E0,-6.310876465E-1
1.997451542E0,1.003079086E1,-3.508104858E0,-5.056484985E-1
2.007462542E0,1.069600754E1,-3.567830658E0,-3.950285339E-1
2.017472542E0,1.121183487E1,-3.634591827E0,-3.264710999E-1
2.027482542E0,1.143307480E1,-3.670666809E0,-3.381468201E-1
2.037493542E0,1.138876694E1,-3.688479767E0,-3.936813354E-1
2.047503542E0,1.113758926E1,-3.655847626E0,-5.092410278E-1
2.057513542E0,1.078941330E1,-3.655099182E0,-6.574328613E-1
2.067524208E0,1.054991135E1,-3.655248871E0,-7.918533325E-1
2.077534208E0,1.054437286E1,-3.669469299E0,-8.695417786E-1
2.087545208E0,1.068987030E1,-3.662134552E0,-8.967851257E-1
2.097555208E0,1.089928482E1,-3.553759918E0,-8.574169922E-1
2.107565208E0,1.106648712E1,-3.371588745E0,-7.890092468E-1
2.117576208E0,1.107936035E1,-3.162323914E0,-6.831793213E-1
2.127586208E0,1.097832047E1,-2.946772156E0,-6.059399414E-1
2.137596208E0,1.099882782E1,-3.004252625E0,-6.189628601E-1
2.147607208E0,1.118459152E1,-3.633094940E0,-7.426057434E-1
2.157617208E0,1.123743164E1,-4.195176086E0,-8.081694031E-1
2.167627208E0,1.115480347E1,-4.276906128E0,-8.282276917E-1
2.177638208E0,1.095002930E1,-3.963308258E0,-6.831793213E-1
2.187648208E0,1.073672287E1,-3.402424622E0,-3.764671326E-1
2.197658208E0,1.070813232E1,-3.050207062E0,-5.852828979E-2
2.207669208E0,1.086859863E1,-3.102298737E0,1.972897339E-1
2.217679208E0,1.100376755E1,-3.272045746E0,3.858975220E-1
2.227689208E0,1.097338074E1,-3.319197693E0,5.092410278E-1
2.237700208E0,1.081875229E1,-3.201542358E0,6.860234070E-1
2.247710208E0,1.070483917E1,-3.012784882E0,9.624984741E-1
2.257721208E0,1.069211563E1,-2.768193512E0,1.297052765E0
2.267731208E0,1.072639435E1,-2.592458954E0,1.553170166E0
2.277741208E0,1.069840256E1,-2.562970276E0,1.644330597E0
2.287752208E0,1.054601944E1,-2.730621643E0,1.533860321E0
2.297762208E0,1.038151154E1,-3.040477295E0,1.312321014E0
2.307772208E0,1.017703674E1,-3.316353607E0,1.192869415E0
2.317783208E0,9.939780121E0,-3.494932251E0,1.177152100E0
2.327793208E0,9.725276184E0,-3.666924591E0,1.182840271E0
2.337803208E0,9.611363068E0,-3.836671600E0,1.238973541E0
2.347814208E0,9.558373260E0,-3.951183472E0,1.385219421E0
2.357824208E0,9.499994659E0,-3.970193939E0,1.557960205E0
2.367834208E0,9.358838196E0,-3.937412109E0,1.774859161E0
2.377845208E0,9.116492157E0,-3.840862885E0,1.995350647E0
2.387855208E0,8.769663391E0,-3.732188873E0,2.174078979E0
2.397865208E0,8.280630341E0,-3.657194824E0,2.240540771E0
2.407876208E0,7.750881958E0,-3.593876495E0,2.231110382E0
2.417886208E0,7.206314392E0,-3.490142212E0,2.207758942E0
2.427897208E0,6.743776245E0,-3.353925476E0,2.146386566E0
2.437907208E0,6.411018219E0,-3.231629791E0,2.068548431E0
2.447917208E0,6.216123505E0,-3.145109711E0,1.964514771E0
2.457928208E0,6.128555603E0,-3.068319397E0,1.883682861E0
2.467938208E0,6.179898834E0,-2.999612274E0,1.842069397E0
2.477948208E0,6.392756195E0,-2.955753479E0,1.816023560E0
2.487959208E0,6.648274841E0,-2.935545502E0,1.761985931E0
2.497969208E0,6.918462982E0,-2.940784607E0,1.638642426E0
2.507979208E0,7.149133301E0,-2.985541534E0,1.506916351E0
2.517990208E0,7.388036499E0,-3.123704224E0,1.330133972E0
2.528000208E0,7.613767090E0,-3.362607422E0,1.115929413E0
2.538010208E0,7.766748962E0,-3.553161163E0,9.345066833E-1
2.548021208E0,7.908204803E0,-3.611240387E0,7.887098694E-1
2.558031208E0,8.024063873E0,-3.664978638E0,6.792874146E-1
2.568042208E0,8.106542358E0,-3.761378174E0,5.804928589E-1
2.578052208E0,8.185428314E0,-3.857328644E0,5.457650757E-1
2.588062208E0,8.332422638E0,-3.902235260E0,5.716612244E-1
2.598073208E0,8.524473267E0,-3.891008606E0,6.697073364E-1
2.608083208E0,8.755293274E0,-3.852987671E0,8.187973022E-1
2.618093208E0,8.943302307E0,-3.788471832E0,9.735754395E-1
2.628104208E0,9.084907837E0,-3.767665100E0,1.126257935E0
2.638114208E0,9.248218231E0,-3.779490509E0,1.230740662E0
2.648124208E0,9.471104736E0,-3.885170746E0,1.246757355E0
2.658135208E0,9.717342682E0,-4.180057526E0,1.188528442E0
2.668145208E0,1.001207977E1,-4.594395905E0,1.080303497E0
2.678155208E0,1.020787262E1,-4.899162140E0,9.982740784E-1
2.688166208E0,1.023122406E1,-4.977000275E0,9.207353210E-1
2.698176208E0,1.014440460E1,-4.903054047E0,8.563691711E-1
2.708187208E0,9.961634674E0,-4.888534241E0,8.255332947E-1
2.718197208E0,9.883197784E0,-5.075046387E0,8.434959412E-1
2.728207208E0,1.013362701E1,-5.582940216E0,9.151968384E-1
2.738218208E0,1.061038559E1,-6.193819885E0,1.015338593E0
2.748228208E0,1.116617981E1,-6.621181183E0,1.115031281E0
2.758238208E0,1.159518768E1,-6.823859711E0,1.304836578E0
2.768249208E0,1.174772049E1,-6.758894806E0,1.567091217E0
2.778259208E0,1.157303375E1,-6.416556702E0,1.855691071E0
2.788269208E0,1.110959747E1,-5.854774933E0,2.101030884E0
2.798280208E0,1.048015640E1,-5.233117676E0,2.275567932E0
2.808290208E0,9.798473969E0,-4.665797424E0,2.357148285E0
2.818300208E0,9.148675232E0,-4.089046783E0,2.353555756E0
2.828311208E0,8.606203308E0,-3.494782562E0,2.318378906E0
2.838321208E0,8.174800415E0,-2.951562195E0,2.271226959E0
2.848332208E0,7.850125580E0,-2.476599884E0,2.232457581E0
2.858342208E0,7.655530243E0,-2.117346954E0,2.202370148E0
2.868352208E0,7.584128723E0,-1.978286133E0,2.179168396E0
2.878363208E0,7.621550903E0,-2.024090881E0,2.095342712E0
2.888373208E0,7.738906860E0,-2.237247620E0,1.892364807E0
2.898383208E0,7.876171417E0,-2.471959534E0,1.620380402E0
2.908394208E0,8.056396637E0,-2.625839539E0,1.292412415E0
2.918404208E0,8.246800690E0,-2.757266235E0,9.580078125E-1
2.928414208E0,8.447084198E0,-2.922522583E0,6.328839111E-1
2.938425208E0,8.667276306E0,-3.155887299E0,2.984793091E-1
2.948435208E0,8.893006897E0,-3.439547424E0,-1.152603149E-2
2.958445208E0,9.129066010E0,-3.698957977E0,-2.818638611E-1
2.968456208E0,9.434730377E0,-3.877835999E0,-5.246589661E-1
2.978466208E0,9.773026886E0,-3.989653473E0,-6.867718506E-1
2.988477208E0,1.007824219E1,-3.992198181E0,-7.755372620E-1
2.998487208E0,1.026220963E1,-3.895648956E0,-7.571255493E-1
3.008497208E0,1.027987289E1,-3.779939575E0,-7.083270264E-1
3.018508208E0,1.009261230E1,-3.564986572E0,-6.295907593E-1
3.028518208E0,9.719887390E0,-3.277284851E0,-5.046006775E-1
3.038528208E0,9.306746521E0,-2.979254608E0,-3.544628906E-1
3.048539208E0,8.970246277E0,-2.780168610E0,-2.565664673E-1
3.058549208E0,8.784332886E0,-2.647095337E0,-1.886077881E-1
3.068559542E0,8.600215759E0,-2.528541870E0,-1.163081360E-1
3.078570542E0,8.347690887E0,-2.442171478E0,-8.098159790E-2
3.088580542E0,8.155340881E0,-2.413580933E0,-9.056167603E-2
3.098591542E0,8.084538116E0,-2.416724396E0,-1.314266968E-1
3.108601542E0,8.160879364E0,-2.413880310E0,-1.709445190E-1
3.118611542E0,8.381370850E0,-2.404449921E0,-2.031275940E-1
3.128622542E0,8.626411285E0,-2.421364746E0,-2.505789185E-1
3.138632542E0,8.765023041E0,-2.358345795E0,-2.600093079E-1
3.148642542E0,8.776100006E0,-2.254012756E0,-2.549198914E-1
3.158653542E0,8.799451447E0,-2.141895905E0,-1.839674377E-1
3.168663542E0,8.812474365E0,-2.176024933E0,-1.621128845E-1
3.178673542E0,8.828491058E0,-2.287992096E0,-2.227368164E-1
3.188684542E0,8.804989929E0,-2.302661591E0,-3.320095825E-1
3.198694542E0,8.644972687E0,-2.249073029E0,-4.330494690E-1
3.208704542E0,8.387508087E0,-2.220332794E0,-5.418731689E-1
3.218715542E0,8.183332672E0,-2.203118591E0,-6.661148071E-1
3.228725542E0,8.046517181E0,-2.239642639E0,-7.303312683E-1
3.238736542E0,7.991132355E0,-2.283800812E0,-6.252497864E-1
3.248746542E0,8.084837494E0,-2.302960968E0,-3.219804382E-1
3.258756542E0,8.392447815E0,-2.327809296E0,1.088237000E-1
3.268767542E0,8.878487091E0,-2.374063110E0,5.682183838E-1
3.278777542E0,9.414522400E0,-2.448757782E0,1.019529877E0
3.288787542E0,1.002165985E1,-2.432292023E0,1.452729034E0
3.298798542E0,1.062745010E1,-2.420466614E0,1.735041962E0
3.308808542E0,1.113878677E1,-2.548001404E0,1.758094025E0
3.318818542E0,1.151091293E1,-2.700384521E0,1.578617249E0
3.328829542E0,1.159009827E1,-2.788102112E0,1.240919495E0
3.338839542E0,1.144504990E1,-2.754571838E0,8.229885864E-1
3.348850542E0,1.121228394E1,-2.680775299E0,4.564009094E-1
3.358860542E0,1.096020813E1,-2.572101288E0,2.137554932E-1
