"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.910538080E-1,6.009471416E-1,-7.616591454E-2,-3.493880272E0,3.546003112E0
3.958244330E-1,3.085284829E-1,2.652921677E-1,-2.729527473E0,2.759690198E0
4.005958910E-1,-3.987312317E-3,4.572818279E-1,-4.232120514E-1,6.230818640E-1
4.053680270E-1,-1.812952757E-1,3.276402950E-1,1.152079582E0,1.211405590E0
4.101393810E-1,7.828994989E-1,-1.047518253E-1,7.886037827E-1,1.116154334E0
4.149100060E-1,8.026497364E-1,1.386771202E-1,-6.888198853E-2,8.174488800E-1
4.196813600E-1,1.037998199E0,4.956281185E-1,-8.359107971E-1,1.421912218E0
4.244536000E-1,1.977035046E0,5.258090496E-1,-1.680899620E0,2.647747394E0
4.292249020E-1,2.803785563E0,3.195309639E-1,-2.408729076E0,3.710160277E0
4.339955270E-1,3.257756233E0,-4.177808762E-3,-2.641811371E0,4.194300949E0
4.387669850E-1,3.248174667E0,-2.280251980E-1,-2.596062183E0,4.164393476E0
4.435391200E-1,2.933130264E0,-3.071758747E-1,-2.179730892E0,3.667265593E0
4.483104750E-1,2.460201263E0,-3.293604851E-1,-1.652324200E0,2.981818882E0
4.530811000E-1,1.872769117E0,-4.280457497E-1,-1.414801598E0,2.385822896E0
4.578524540E-1,1.474151611E0,-6.139440536E-1,-1.326563358E0,2.076010746E0
4.626246930E-1,1.361630321E0,-8.943328857E-1,-1.634719849E0,2.307851257E0
4.673960480E-1,1.007117987E0,-1.137253523E0,-1.868718624E0,2.408265249E0
4.721666200E-1,6.967699528E-1,-1.323540449E0,-2.102996826E0,2.580667227E0
4.769380790E-1,6.319606900E-1,-1.445592165E0,-2.763901711E0,3.182493313E0
4.817102660E-1,8.584294319E-1,-1.519171953E0,-3.666869640E0,4.060876441E0
4.864815680E-1,1.156147242E0,-1.555153728E0,-4.534317493E0,4.931046004E0
4.912521930E-1,1.393051744E0,-1.647314429E0,-4.882963181E0,5.338311288E0
4.960236520E-1,1.570643663E0,-1.832214832E0,-4.694061279E0,5.278081470E0
5.007957870E-1,2.389015436E0,-2.487533092E0,-5.093571663E0,6.151397234E0
5.055671410E-1,1.864439368E0,-2.102644920E0,-4.247505188E0,5.092990295E0
5.103377660E-1,1.130581260E0,-1.785511017E0,-3.705733776E0,4.265996530E0
5.151091200E-1,8.447923660E-1,-2.002880335E0,-3.986781597E0,4.540884416E0
5.198813600E-1,7.532024384E-1,-2.255616188E0,-4.224468231E0,4.847808798E0
5.246527140E-1,2.108516693E-1,-2.010966778E0,-3.586539268E0,4.117245406E0
5.294232870E-1,-1.268734932E-1,-1.678853273E0,-3.191004276E0,3.607929252E0
5.341947450E-1,-2.452213764E-1,-1.391749501E0,-2.037811279E0,2.479873990E0
5.389668810E-1,-1.100293994E0,-1.889917731E0,4.516213894E0,5.017830591E0
5.437382350E-1,-1.031936884E0,-5.651922226E-1,-4.799652100E-1,1.270709480E0
5.485088600E-1,-1.321932077E0,-1.132915854E0,-8.097000122E-1,1.920056473E0
5.532803180E-1,-1.880161047E0,-2.485612154E0,2.702047348E0,4.124843417E0
5.580524540E-1,-1.953374267E0,-1.947256804E0,2.535243034E0,3.746323174E0
5.628238080E-1,-1.707742333E0,-1.824174523E0,1.618179798E0,2.976995537E0
5.675944330E-1,-1.441874266E0,-2.348121643E0,1.593843460E0,3.183239486E0
5.723657870E-1,-9.332129955E-1,-2.675065517E0,9.694194794E-2,2.834829758E0
5.771380270E-1,-5.272078514E-2,-3.083863020E0,-1.762696743E0,3.552476659E0
5.819093290E-1,7.064833641E-1,-3.397642374E0,-2.678493023E0,4.383767480E0
5.866799540E-1,9.165740013E-1,-3.801643848E0,-2.917412758E0,4.878924169E0
5.914514120E-1,6.926498413E-1,-3.998715401E0,-3.061606407E0,5.083593458E0
5.962235480E-1,6.836731434E-1,-3.987027407E0,-3.500352383E0,5.349417100E0
6.009949020E-1,8.614778519E-1,-3.709543943E0,-4.680306911E0,6.033915242E0
6.057655270E-1,8.114895821E-1,-3.240119934E0,-5.973613739E0,6.844045122E0
6.105369850E-1,7.361741066E-1,-3.070875645E0,-5.800373077E0,6.604283260E0
6.153091200E-1,2.900028467E0,-4.199534416E0,-4.981589317E-1,5.127808181E0
6.200804750E-1,2.150702238E0,-2.546724796E0,-2.308536053E0,4.054709116E0
6.248511000E-1,2.807481289E0,-1.672126770E0,4.522023201E-1,3.298855265E0
6.296224540E-1,5.653802395E0,-4.178341627E-1,8.857043266E0,1.051604880E1
6.343946930E-1,4.040274143E0,5.670408010E-1,-5.521984100E0,6.865687062E0
6.391659950E-1,4.449917793E0,7.841697931E-1,-6.979187012E0,8.314189195E0
6.439366200E-1,5.122735023E0,7.787076831E-1,-5.462499619E0,7.529123578E0
6.487080790E-1,4.681920052E0,6.966306567E-1,-4.388470173E0,6.454792026E0
6.534802660E-1,4.230872631E0,4.426293373E-1,-4.059768677E0,5.880299793E0
6.582515680E-1,4.114260674E0,1.064547300E-1,-4.838550091E0,6.352168172E0
6.630221930E-1,4.081758499E0,-2.951863408E-1,-5.961940289E0,7.231363594E0
6.677936520E-1,3.771548271E0,-9.262204766E-1,-6.666872501E0,7.715545974E0
6.725657870E-1,3.241281986E0,-1.490585089E0,-6.922442913E0,7.787680573E0
6.773371410E-1,2.796912193E0,-1.894390583E0,-6.834550381E0,7.623812196E0
6.821077660E-1,2.660794735E0,-2.124546528E0,-6.688636780E0,7.505423942E0
6.868791200E-1,2.634815216E0,-2.255694866E0,-6.496645451E0,7.364564662E0
6.916513600E-1,2.562914371E0,-2.286091328E0,-6.215910912E0,7.101569692E0
6.964227140E-1,2.426016808E0,-2.314333677E0,-5.840170383E0,6.734188001E0
7.011932870E-1,2.295741081E0,-2.342871666E0,-5.451651096E0,6.362387479E0
7.059647450E-1,2.257441998E0,-2.359755516E0,-5.063383579E0,6.025142632E0
7.107369330E-1,2.350575447E0,-2.371729612E0,-4.738439560E0,5.796819451E0
7.155082350E-1,2.433799744E0,-2.363906860E0,-4.385517597E0,5.544745389E0
7.202788600E-1,2.544562340E0,-2.406988859E0,-4.156327724E0,5.435388949E0
7.250503180E-1,2.676716805E0,-2.556952953E0,-3.970553160E0,5.428454076E0
7.298224540E-1,2.833321571E0,-2.698374271E0,-3.745831013E0,5.416658085E0
7.345938080E-1,2.967107773E0,-2.731239557E0,-3.457059860E0,5.311747446E0
7.393644330E-1,3.066669941E0,-2.685287476E0,-3.105497837E0,5.124387785E0
7.441358910E-1,3.163425446E0,-2.673068285E0,-2.583163977E0,4.881115727E0
7.489080270E-1,3.224171638E0,-2.721151590E0,-1.827895522E0,4.597950714E0
7.536793810E-1,3.351171017E0,-2.815603495E0,-9.226257801E-1,4.473165384E0
7.584500060E-1,3.543467522E0,-2.947397470E0,1.151063442E-1,4.610484074E0
7.632213600E-1,3.771480560E0,-3.054962158E0,1.230258465E0,5.007034581E0
7.679936000E-1,4.008374214E0,-3.041503429E0,2.346376896E0,5.551872791E0
7.727649540E-1,4.211074829E0,-2.882187843E0,3.576890230E0,6.231717396E0
7.775355270E-1,4.322550774E0,-2.630486965E0,4.772343636E0,6.955513686E0
7.823069850E-1,4.355024338E0,-2.372077227E0,5.763114929E0,7.603057348E0
7.870791730E-1,4.427684784E0,-2.061028481E0,6.625673294E0,8.231146794E0
7.918504750E-1,4.587552071E0,-1.796755195E0,7.350621700E0,8.849045294E0
7.966211000E-1,4.757633209E0,-1.478354216E0,7.969168186E0,9.398310833E0
8.013925580E-1,4.918482780E0,-1.086569309E0,8.522089005E0,9.899399311E0
8.061646930E-1,5.096022606E0,-6.215809584E-1,9.082509995E0,1.043301477E1
8.109360480E-1,5.327839851E0,-9.950041771E-3,9.623015404E0,1.099947280E1
8.157066730E-1,5.660633087E0,6.873710155E-1,1.008326817E1,1.158393468E1
8.204780270E-1,6.014634132E0,1.471616387E0,1.042535210E1,1.212556988E1
8.252502660E-1,6.353389740E0,2.258349419E0,1.062408066E1,1.258319487E1
8.300216200E-1,6.721621513E0,3.075469971E0,1.071191788E1,1.301475685E1
8.347922450E-1,7.123332977E0,3.888560772E0,1.069056511E1,1.342203263E1
8.395636000E-1,7.500695229E0,4.672893524E0,1.070669079E1,1.388270832E1
8.443358390E-1,7.817649841E0,5.406154156E0,1.073418999E1,1.433753767E1
8.491071930E-1,8.033619881E0,5.994911194E0,1.092534733E1,1.482704363E1
8.538777660E-1,8.146373749E0,6.510730267E0,1.120249271E1,1.530519052E1
8.586492250E-1,8.122844696E0,6.944370270E0,1.161923981E1,1.578643779E1
8.634214120E-1,8.073009491E0,7.239403725E0,1.204522228E1,1.620709192E1
8.681927140E-1,7.913476944E0,7.442372322E0,1.244126225E1,1.651656833E1
8.729633390E-1,7.656617165E0,7.661718845E0,1.288046837E1,1.682950348E1
8.777347980E-1,7.419447899E0,7.964662552E0,1.325918579E1,1.715488457E1
8.825069330E-1,7.199262619E0,8.324776649E0,1.361513138E1,1.750722968E1
8.872782870E-1,7.119501114E0,8.620199203E0,1.399501324E1,1.791244054E1
8.920489120E-1,7.067311287E0,8.829830170E0,1.432149601E1,1.824878181E1
8.968203700E-1,7.018577576E0,9.003864288E0,1.461029530E1,1.854159464E1
9.015925060E-1,6.835214615E0,9.175741196E0,1.483035183E1,1.873108968E1
9.063638600E-1,6.599044800E0,9.416752815E0,1.495628548E1,1.886565931E1
9.111344850E-1,6.346301079E0,9.690579414E0,1.496841431E1,1.892713115E1
9.159058390E-1,6.122535706E0,9.891825676E0,1.482800865E1,1.884684322E1
9.206780790E-1,5.763577461E0,1.007296658E1,1.470855618E1,1.873566400E1
9.254494330E-1,5.375225067E0,1.013152313E1,1.445199108E1,1.844995533E1
9.302200060E-1,4.996004105E0,1.009168530E1,1.413452148E1,1.807171455E1
9.349914640E-1,4.566563606E0,9.987116814E0,1.371074009E1,1.756645665E1
9.397636520E-1,4.103998184E0,9.889461517E0,1.320039940E1,1.699690544E1
9.445349540E-1,3.610946655E0,9.762935638E0,1.270150185E1,1.642199736E1
9.493055790E-1,3.099484444E0,9.683839798E0,1.218501759E1,1.587004129E1
9.540770370E-1,2.581564903E0,9.585055351E0,1.166454506E1,1.531663719E1
9.588492250E-1,2.019066811E0,9.526466370E0,1.112011719E1,1.478131248E1
9.636205270E-1,1.550282478E0,9.512772560E0,1.054113007E1,1.428326435E1
9.683911520E-1,1.088917732E0,9.434390068E0,1.002633476E1,1.381017185E1
9.731626100E-1,6.373109818E-1,9.253820419E0,9.504140854E0,1.328036336E1
9.779347450E-1,9.544754028E-2,9.072513580E0,9.062336922E0,1.282363300E1
9.827061000E-1,-3.478631973E-1,8.817900658E0,8.789648056E0,1.245529180E1
9.874767250E-1,-6.189985275E-1,8.536803246E0,8.549488068E0,1.209768222E1
9.922481830E-1,-7.685298920E-1,8.342171669E0,8.346220970E0,1.182547550E1
9.970203180E-1,-7.038717270E-1,8.265007973E0,8.172697067E0,1.164468847E1
1.001791673E0,-4.473810196E-1,8.316582680E0,7.787450790E0,1.140219659E1
1.006562298E0,-9.749794006E-2,8.424410820E0,7.314756393E0,1.115732336E1
1.011333652E0,3.145093918E-1,8.528386116E0,6.895292282E0,1.097166084E1
1.016105891E0,8.599739075E-1,8.623319626E0,6.423924446E0,1.078740014E1
1.020877245E0,1.466911316E0,8.754199982E0,6.070239067E0,1.075340172E1
1.025647870E0,2.182813644E0,8.927607536E0,5.748296738E0,1.084019221E1
1.030419225E0,3.009617805E0,9.169221878E0,5.475408554E0,1.109560850E1
1.035191464E0,3.956359863E0,9.335500717E0,5.264280319E0,1.142440389E1
1.039962766E0,5.134449005E0,9.574350357E0,5.253962040E0,1.206792726E1
1.044733391E0,6.550034523E0,9.975082397E0,5.392323494E0,1.309512786E1
1.049504850E0,8.085671425E0,1.046390724E1,5.648097992E0,1.437958442E1
1.054277037E0,9.729638100E0,1.092648029E1,6.118172646E0,1.585830589E1
1.059048339E0,1.137994957E1,1.121807957E1,6.765077591E0,1.735266078E1
1.063818964E0,1.295416832E1,1.126443005E1,7.441931725E0,1.871043048E1
1.068590423E0,1.445851517E1,1.112314034E1,8.395172119E0,2.008113111E1
1.073362558E0,1.589924049E1,1.081368542E1,9.455446243E0,2.142725144E1
1.078133912E0,1.726581955E1,1.059110069E1,1.034792328E1,2.274553703E1
1.082904537E0,1.836418915E1,1.032111454E1,1.099489784E1,2.376250464E1
1.087675995E0,1.923217773E1,9.939638138E0,1.133122444E1,2.443501001E1
1.092448131E0,1.994744873E1,9.459866524E0,1.134773827E1,2.482258950E1
1.097219485E0,2.055136108E1,8.890607834E0,1.121148968E1,2.504194183E1
1.101990110E0,2.099663925E1,8.338444710E0,1.082926750E1,2.505317454E1
1.106761568E0,2.148888397E1,7.701781750E0,1.029650116E1,2.504211478E1
1.111533704E0,2.219450378E1,6.984382629E0,9.643825531E0,2.518692061E1
1.116305058E0,2.302197647E1,6.218008041E0,8.930184364E0,2.546415554E1
1.121075683E0,2.397330475E1,5.455254078E0,8.226296425E0,2.592587685E1
1.125847037E0,2.505574799E1,4.659916401E0,7.628089428E0,2.660250132E1
1.130619277E0,2.628884125E1,3.797909737E0,7.099922180E0,2.749429373E1
1.135390631E0,2.733946228E1,2.806705952E0,6.558521748E0,2.825487575E1
1.140161256E0,2.787108994E1,1.574428558E0,5.982877731E0,2.854945368E1
1.144932610E0,2.788933182E1,9.289789200E-2,5.306353092E0,2.838980173E1
